student_id,semester,previous_cgpa,attendance,internal_marks,assignment_completion,lab_marks,backlogs,study_hours,performance_category
S1104,1,9.33,83.2,85.35,88.87,94.03,2,3.25,GOOD
S1105,6,8.28,96.05,43.3,54.12,73.21,0,6.31,GOOD
S1106,4,7.94,86.45,81.46,56.57,79.75,3,7.58,GOOD
S1107,3,6.47,90.94,41.94,97.87,79.96,3,5.63,GOOD
S1108,3,5.5,51.05,58.4,55.88,97.55,4,4.02,AT RISK
S1109,7,4.53,83.82,94.92,65.8,56.52,1,6.23,GOOD
S1110,3,8.96,68.32,46.56,65.95,45.26,1,4.21,AVERAGE
S1111,1,6.51,74.31,44.24,55.18,67.71,2,3.9,AVERAGE
S1112,2,5.11,79.67,60.37,86.55,68.59,3,4.68,AVERAGE
S1113,2,5.68,96.4,72.18,86.31,46.21,4,3.22,GOOD
S1114,5,7.19,97.18,90.97,62.7,73.63,0,1.73,GOOD
S1115,6,4.97,60.28,93.85,90.11,35.89,1,3.9,AVERAGE
S1116,6,8.71,83.89,39.18,52.78,93.44,1,1.87,AVERAGE
S1117,5,8.17,84.75,43.28,40.26,51.67,1,3.87,AVERAGE
S1118,6,7.96,63.36,82.44,74.27,37.49,2,4.9,AVERAGE
S1119,3,6.38,51.57,51.24,99.64,41.82,4,7.51,AVERAGE
S1120,5,7.45,47.17,88.09,42.32,50.14,0,1.25,AVERAGE
S1121,1,7.21,86.2,74.81,52.48,52.26,4,5.35,GOOD
S1122,4,7.57,70.95,41.71,71.13,37.07,3,4.2,AVERAGE
S1123,4,4.46,97.23,84.95,88.6,52.6,3,1.14,AVERAGE
S1124,1,6.29,69.64,45.58,45.34,47.16,3,2.75,AT RISK
S1125,4,4.23,96.83,60.41,63.71,58.85,0,1.83,AVERAGE
S1126,6,6.72,66.81,68.13,84.82,59.27,3,2.52,AVERAGE
S1127,3,5.81,87.07,65.05,62.29,56.36,1,2.92,GOOD
S1128,4,4.79,49.5,76.17,51.33,55.66,2,3.81,AVERAGE
S1129,3,4.57,74.44,74.16,51.73,40.65,3,4.7,AVERAGE
S1130,2,7.23,87.51,94.52,64.6,36.59,3,1.01,GOOD
S1131,1,4.94,94.01,94.97,68.77,47.73,1,2.13,GOOD
S1132,3,9.09,88.6,65.99,91.71,82.67,1,1.65,GOOD
S1133,6,7.2,46.96,40.71,78.54,97.42,2,4.85,AVERAGE
S1134,7,5.91,64.75,78.67,81.42,93.5,0,3.3,AVERAGE
S1135,5,7.25,47.58,93.6,98.98,66.77,3,4.84,AVERAGE
S1136,5,4.13,50.79,54.1,64.71,68.5,0,2.55,AT RISK
S1137,5,9.27,80.79,62.67,64.2,54.82,2,1.17,GOOD
S1138,4,6.65,82.8,60.49,95.4,83.76,3,7.59,GOOD
S1139,3,8.31,86.01,38.09,54.75,83.18,0,1.76,AVERAGE
S1140,5,4.46,90.87,75.34,83.79,88.19,4,1.89,GOOD
S1141,6,6.68,84.19,56.2,85.27,91.42,1,2.03,GOOD
S1142,3,6.7,87.45,82.25,45.87,62.36,0,7.87,GOOD
S1143,4,9.16,47.6,84.93,68.09,83.31,3,5.32,AVERAGE
S1144,4,7.14,57.43,84.27,52.03,85.8,2,5.27,GOOD
S1145,2,6.6,77.96,60.0,51.12,54.43,3,7.91,GOOD
S1146,3,5.47,90.48,54.29,67.83,93.54,3,1.62,AT RISK
S1147,1,5.82,45.24,79.93,57.37,40.94,2,7.82,AVERAGE
S1148,4,6.86,72.28,83.08,87.76,97.64,4,2.43,GOOD
S1149,5,6.41,80.9,64.48,94.46,83.52,1,5.36,GOOD
S1150,5,4.12,46.57,88.58,88.16,40.88,2,3.94,AVERAGE
S1151,7,8.54,66.27,43.63,55.96,76.34,0,3.69,AVERAGE
S1152,1,8.93,92.47,87.74,56.45,37.15,3,7.52,GOOD
S1153,6,4.77,80.6,40.77,55.28,83.52,1,2.04,AVERAGE
S1154,6,7.05,57.6,44.21,48.1,85.35,3,7.98,AVERAGE
S1155,4,4.6,90.2,67.03,96.63,72.95,4,3.65,AVERAGE
S1156,2,7.7,63.45,39.05,64.12,88.98,4,5.54,AVERAGE
S1157,3,5.55,90.23,38.17,53.48,41.17,4,7.78,AVERAGE
S1158,5,7.63,60.84,35.03,90.8,52.38,0,1.4,AT RISK
S1159,7,8.0,76.29,61.18,63.95,61.09,0,7.46,GOOD
S1160,5,8.23,66.04,81.48,42.11,37.67,4,4.97,AVERAGE
S1161,4,4.59,59.57,37.09,49.72,63.24,1,5.93,AT RISK
S1162,5,9.04,91.99,74.14,78.36,51.71,0,2.04,GOOD
S1163,1,5.27,54.94,84.39,86.97,59.74,1,4.73,AVERAGE
S1164,5,4.21,49.5,45.08,52.66,61.78,4,5.71,AT RISK
S1165,1,7.05,63.12,43.81,95.04,90.4,1,4.19,AVERAGE
S1166,7,6.04,83.03,86.65,91.06,52.03,0,2.08,AVERAGE
S1167,7,8.56,87.79,84.39,90.9,91.31,3,2.71,GOOD
S1168,4,8.45,97.93,67.34,53.66,61.84,0,6.98,GOOD
S1169,3,5.74,60.71,84.15,43.03,55.65,1,1.24,AVERAGE
S1170,6,9.24,66.62,40.57,92.05,66.66,0,5.96,AVERAGE
S1171,5,5.6,52.25,58.67,58.35,61.32,3,8.0,AVERAGE
S1172,5,6.83,75.47,79.27,77.13,51.21,2,1.05,AVERAGE
S1173,4,5.41,97.87,50.45,85.6,66.67,4,2.13,AVERAGE
S1174,2,9.15,82.15,80.14,47.7,44.56,1,5.72,GOOD
S1175,1,4.91,76.55,65.25,86.85,57.17,1,1.42,AVERAGE
S1176,2,4.25,65.8,80.02,96.31,70.64,0,5.13,AVERAGE
S1177,4,6.39,93.51,62.88,83.7,61.04,1,5.79,GOOD
S1178,3,9.46,71.34,57.07,66.47,86.91,2,5.12,GOOD
S1179,4,8.9,52.12,48.15,92.6,51.17,0,3.56,AVERAGE
S1180,2,8.12,64.37,47.5,71.65,96.1,2,5.88,AVERAGE
S1181,7,8.9,48.56,80.09,84.69,84.44,4,5.16,AT RISK
S1182,3,8.91,55.7,42.13,89.23,95.96,3,2.45,AVERAGE
S1183,6,6.85,45.94,40.16,84.96,87.8,3,4.94,AVERAGE
S1184,3,5.74,69.02,45.58,57.27,43.95,4,7.17,AT RISK
S1185,4,8.25,78.63,45.52,47.07,68.17,3,5.67,AVERAGE
S1186,5,7.64,63.19,84.39,54.3,45.71,3,4.3,AVERAGE
S1187,2,6.06,67.28,58.91,70.17,86.55,4,3.25,AT RISK
S1188,2,4.52,95.84,94.42,70.32,71.8,0,1.6,GOOD
S1189,3,8.11,84.85,43.23,74.96,51.6,4,2.71,AVERAGE
S1190,6,5.44,73.67,74.21,63.71,93.56,1,1.08,AVERAGE
S1191,2,9.15,60.08,61.92,87.21,42.26,3,7.91,AVERAGE
S1192,4,5.33,92.54,58.58,94.79,70.52,4,2.56,AVERAGE
S1193,5,4.68,57.46,87.51,54.8,80.43,2,6.7,AVERAGE
S1194,5,8.57,62.24,93.54,84.19,38.71,0,2.18,GOOD
S1195,4,4.84,93.18,87.37,80.68,72.66,1,2.99,GOOD
S1196,1,4.99,73.07,46.54,71.39,86.4,2,3.93,AVERAGE
S1197,1,7.3,84.34,48.25,51.31,39.25,4,3.27,AT RISK
S1198,4,8.81,76.31,74.36,87.71,67.27,4,6.59,AVERAGE
S1199,6,5.08,79.63,52.35,97.64,51.29,2,7.7,AVERAGE
S1200,1,5.71,60.87,79.08,83.31,76.76,4,7.13,AVERAGE
S1201,7,8.28,57.79,68.99,95.07,42.48,2,2.08,AVERAGE
S1202,5,9.35,62.09,68.05,99.05,94.03,2,6.44,GOOD
S1203,1,6.75,53.24,84.71,61.12,91.37,4,2.04,AVERAGE
S1204,3,4.79,91.34,77.63,78.29,46.72,3,7.39,AVERAGE
S1205,2,4.08,60.01,36.59,68.44,55.37,2,4.63,AT RISK
S1206,7,5.26,74.76,37.97,99.2,72.02,2,3.35,AVERAGE
S1207,4,4.73,86.97,71.09,45.63,80.24,3,2.1,AVERAGE
S1208,3,7.73,86.54,64.17,64.74,62.89,3,1.08,GOOD
S1209,2,4.67,68.23,50.61,92.53,44.85,2,2.74,AT RISK
S1210,4,6.78,70.24,60.12,57.04,41.56,0,7.4,AVERAGE
S1211,1,7.82,97.72,80.47,87.27,97.99,0,6.58,GOOD
S1212,2,7.2,80.75,84.6,62.97,63.69,0,7.79,GOOD
S1213,2,5.1,88.18,68.67,98.8,89.97,2,1.71,AVERAGE
S1214,5,8.42,92.84,58.12,93.01,65.39,3,5.15,AVERAGE
S1215,5,7.93,86.74,51.24,58.08,93.11,4,2.8,AVERAGE
S1216,4,8.06,54.81,66.32,86.21,40.53,1,4.8,AVERAGE
S1217,1,4.72,74.8,53.88,60.21,42.18,3,3.24,AT RISK
S1218,3,4.68,50.4,68.85,76.38,93.57,3,2.98,AT RISK
S1219,6,9.1,79.6,75.6,79.51,94.69,0,5.02,GOOD
S1220,2,6.19,95.63,38.96,89.78,54.83,1,2.28,AVERAGE
S1221,2,5.66,72.17,35.06,41.47,57.38,1,4.28,AVERAGE
S1222,1,6.69,67.95,47.74,53.21,63.5,4,5.56,AT RISK
S1223,6,7.65,46.9,88.67,82.72,61.22,4,1.9,AVERAGE
S1224,1,9.26,95.87,73.78,73.81,46.97,4,7.51,AVERAGE
S1225,5,5.58,50.46,45.32,69.74,91.6,2,4.54,AVERAGE
S1226,7,9.09,47.18,88.42,43.31,50.96,2,6.74,GOOD
S1227,5,4.14,58.04,63.2,60.9,79.43,1,5.58,AVERAGE
S1228,3,7.05,48.47,63.57,91.91,39.23,3,5.97,AVERAGE
S1229,2,7.49,69.12,91.13,41.85,37.44,0,6.01,GOOD
S1230,1,4.58,72.35,38.57,63.79,76.19,1,7.13,AT RISK
S1231,2,4.77,61.57,47.91,96.71,56.36,0,5.3,AT RISK
S1232,7,6.31,47.7,70.15,43.05,76.29,2,2.95,AVERAGE
S1233,2,9.31,50.91,46.73,84.98,40.92,1,1.7,GOOD
S1234,1,7.28,65.38,75.77,55.46,94.84,0,5.24,GOOD
S1235,6,9.13,48.21,47.85,92.0,82.16,1,1.46,AVERAGE
S1236,3,8.42,82.0,40.95,84.76,90.2,4,2.69,AT RISK
S1237,3,6.57,55.97,47.42,93.14,43.6,2,1.42,AT RISK
S1238,6,8.32,61.01,60.36,52.96,55.17,4,4.84,AVERAGE
S1239,4,4.1,65.89,45.57,71.88,58.21,4,2.12,AT RISK
S1240,7,4.6,67.08,43.08,86.76,68.84,4,5.27,AT RISK
S1241,4,8.56,45.09,86.62,54.74,53.7,1,6.54,AVERAGE
S1242,5,8.38,50.94,54.22,53.84,38.82,4,6.75,AVERAGE
S1243,7,5.28,90.73,56.65,41.63,58.24,4,3.17,AVERAGE
S1244,4,6.92,45.07,38.32,97.51,51.04,4,4.84,AVERAGE
S1245,2,7.33,71.93,56.44,82.6,59.31,1,4.94,GOOD
S1246,7,8.77,70.94,50.89,78.13,47.41,1,4.31,AVERAGE
S1247,2,7.32,62.65,71.63,84.64,51.5,2,5.59,AVERAGE
S1248,1,6.27,67.86,47.32,71.9,74.5,4,2.47,AVERAGE
S1249,5,6.06,86.37,88.3,68.57,59.45,4,7.85,AVERAGE
S1250,7,6.34,89.58,90.78,66.97,56.76,2,1.69,GOOD
S1251,1,7.59,58.8,40.99,78.43,68.64,0,6.8,GOOD
S1252,6,8.77,62.09,41.44,52.09,83.63,2,5.16,AVERAGE
S1253,6,6.5,57.85,41.92,93.28,58.87,3,2.71,AVERAGE
S1254,7,5.36,70.43,72.17,88.71,72.01,2,6.22,GOOD
S1255,3,5.3,81.21,42.32,60.97,95.87,1,1.59,AVERAGE
S1256,2,8.1,57.1,86.14,74.72,67.88,1,6.42,AVERAGE
S1257,4,8.49,62.53,80.26,48.46,92.32,0,5.13,GOOD
S1258,1,4.58,94.31,84.19,98.34,85.0,1,1.78,AVERAGE
S1259,6,4.37,47.57,66.56,94.17,38.7,3,1.56,AT RISK
S1260,5,7.27,69.42,94.8,95.31,62.03,1,6.26,AVERAGE
S1261,4,4.8,82.71,37.65,59.93,78.99,4,3.05,AVERAGE
S1262,4,8.54,52.97,59.08,50.15,97.16,0,7.23,AVERAGE
S1263,5,5.71,47.51,54.44,52.71,63.88,2,6.33,AVERAGE
S1264,4,4.79,52.32,91.92,45.4,40.85,2,5.89,AVERAGE
S1265,6,9.07,93.7,69.61,47.21,70.41,4,2.95,GOOD
S1266,7,4.91,45.49,83.37,44.28,42.97,4,5.96,AVERAGE
S1267,7,5.57,54.98,45.22,99.39,82.35,2,7.64,AVERAGE
S1268,5,4.84,46.66,93.72,44.44,66.98,3,1.64,AVERAGE
S1269,6,4.64,50.86,64.92,47.95,80.58,3,3.28,AT RISK
S1270,3,4.12,77.87,64.62,89.64,89.77,2,2.64,GOOD
S1271,1,4.3,57.81,93.25,74.81,74.62,0,3.75,AVERAGE
S1272,3,4.96,75.17,57.84,86.47,73.58,2,6.2,AVERAGE
S1273,7,4.29,76.28,58.85,77.85,82.54,1,4.32,GOOD
S1274,1,7.25,90.02,70.09,92.93,88.07,2,5.0,GOOD
S1275,4,7.74,45.25,42.68,78.31,89.75,3,3.2,AVERAGE
S1276,2,6.16,90.23,54.27,71.33,37.3,1,1.99,AT RISK
S1277,4,5.75,77.81,46.59,82.76,70.04,1,2.87,AVERAGE
S1278,2,6.77,53.63,41.2,66.84,48.62,4,7.02,GOOD
S1279,6,8.81,85.97,86.97,60.76,89.2,1,5.22,GOOD
S1280,6,8.68,90.34,70.36,68.06,75.85,0,3.65,GOOD
S1281,6,4.24,58.48,56.52,50.18,61.47,3,6.53,AT RISK
S1282,5,5.0,93.7,59.52,87.79,46.85,3,1.45,AVERAGE
S1283,2,5.3,69.09,60.89,55.64,56.36,4,2.78,AT RISK
S1284,4,5.37,76.98,72.99,49.21,79.34,3,2.61,AVERAGE
S1285,1,7.14,97.19,90.61,54.78,47.87,4,7.9,GOOD
S1286,3,6.29,64.16,90.97,90.52,40.9,2,5.94,GOOD
S1287,4,4.27,88.1,58.49,59.81,90.95,1,5.32,AVERAGE
S1288,5,6.05,61.88,54.76,81.16,83.15,4,1.03,AT RISK
S1289,1,6.88,87.36,62.06,91.38,47.59,1,2.29,AVERAGE
S1290,6,4.56,76.84,69.08,44.66,53.42,1,5.45,AVERAGE
S1291,4,8.58,56.47,62.71,85.9,96.24,4,3.66,GOOD
S1292,7,4.29,66.94,74.53,58.46,79.62,4,7.47,GOOD
S1293,4,9.09,61.83,68.26,53.0,73.46,1,6.35,AVERAGE
S1294,4,4.55,49.14,54.24,81.33,54.38,3,4.13,AVERAGE
S1295,5,8.64,46.58,55.74,94.59,53.84,4,6.25,GOOD
S1296,6,8.96,63.36,57.72,57.7,37.49,3,7.83,AVERAGE
S1297,2,9.39,46.01,40.68,74.13,80.89,0,4.23,AVERAGE
S1298,4,8.41,53.77,44.96,57.39,37.72,3,5.5,AVERAGE
S1299,1,8.29,83.43,78.39,73.26,35.31,0,7.43,GOOD
S1300,4,7.53,82.53,58.35,77.31,80.96,4,2.74,AVERAGE
S1301,6,8.28,84.14,47.87,76.62,94.78,0,7.21,GOOD
S1302,7,4.74,61.81,68.76,77.41,82.66,4,1.68,AT RISK
S1303,2,6.95,92.17,80.33,48.1,64.71,0,5.54,GOOD
S1304,3,6.83,76.47,50.45,81.61,65.62,2,6.48,GOOD
S1305,4,8.72,51.68,84.61,80.49,62.48,1,5.3,GOOD
S1306,3,6.55,52.62,90.65,80.96,55.45,4,4.47,AVERAGE
S1307,2,6.12,81.73,70.84,44.44,67.87,1,5.32,GOOD
S1308,3,7.52,54.17,75.14,66.81,62.16,3,2.06,AVERAGE
S1309,3,5.47,71.89,38.15,64.54,72.68,0,2.51,AVERAGE
S1310,4,4.77,97.56,91.73,45.2,91.58,2,2.89,GOOD
S1311,7,6.63,45.21,58.55,53.34,97.69,4,5.18,AVERAGE
S1312,4,6.29,45.88,90.43,66.46,39.96,4,4.09,AVERAGE
S1313,3,5.28,97.63,69.74,84.57,59.24,1,2.71,GOOD
S1314,5,6.02,75.99,35.28,54.22,46.38,1,7.18,AVERAGE
S1315,6,6.02,51.73,37.31,89.78,57.18,2,3.62,AVERAGE
S1316,4,5.8,92.56,75.83,72.75,53.11,2,4.12,AVERAGE
S1317,4,6.09,91.66,68.76,85.63,46.0,2,3.87,AVERAGE
S1318,2,7.77,73.42,36.59,68.35,83.14,0,2.27,AVERAGE
S1319,7,5.63,77.95,79.61,69.95,66.27,3,6.12,AVERAGE
S1320,7,9.22,59.48,86.13,77.18,92.91,1,4.14,GOOD
S1321,2,9.04,47.68,64.79,95.68,37.05,1,1.11,AVERAGE
S1322,3,6.65,76.51,62.95,69.51,39.22,4,7.75,GOOD
S1323,2,5.81,60.62,35.33,71.72,60.41,3,6.71,AVERAGE
S1324,7,6.94,80.17,82.2,76.12,40.06,1,6.06,GOOD
S1325,1,8.67,89.32,54.84,84.25,51.55,4,7.08,GOOD
S1326,2,7.59,45.96,87.73,44.31,97.12,1,7.35,AVERAGE
S1327,3,8.42,76.57,57.38,70.94,48.16,2,3.36,GOOD
S1328,4,6.93,57.26,68.9,68.9,47.48,1,5.28,AVERAGE
S1329,2,7.48,91.32,51.22,95.3,71.14,0,5.26,AVERAGE
S1330,4,5.58,58.44,44.64,69.61,66.37,2,2.87,AVERAGE
S1331,6,8.04,77.37,81.49,68.1,71.57,2,2.55,GOOD
S1332,6,5.11,74.34,64.8,97.73,58.73,4,1.8,AVERAGE
S1333,1,7.82,66.0,67.19,67.03,87.09,1,5.62,GOOD
S1334,1,8.73,80.91,92.92,50.85,43.73,4,6.47,GOOD
S1335,1,4.73,83.47,92.81,53.01,61.99,3,6.33,AVERAGE
S1336,7,7.38,75.05,86.34,45.71,78.45,0,3.21,GOOD
S1337,5,4.52,85.2,46.26,40.03,89.7,3,2.44,AT RISK
S1338,4,7.99,97.12,70.66,65.92,58.28,2,4.18,AVERAGE
S1339,6,4.46,67.22,87.69,86.15,70.77,1,4.83,GOOD
S1340,5,9.15,72.27,57.47,84.01,39.36,2,7.43,GOOD
S1341,2,4.76,45.66,41.07,41.93,45.73,1,7.12,AT RISK
S1342,4,9.27,87.19,83.66,74.2,39.36,3,7.41,GOOD
S1343,5,8.4,72.57,63.91,49.26,80.86,2,6.95,GOOD
S1344,1,7.27,66.62,68.86,96.46,53.15,2,7.75,GOOD
S1345,5,8.3,49.99,93.93,50.04,80.6,1,4.26,GOOD
S1346,4,8.37,92.15,71.43,77.6,39.18,1,1.33,AVERAGE
S1347,1,9.2,65.94,60.5,59.57,89.34,2,1.58,AVERAGE
S1348,2,5.39,81.18,57.2,78.49,87.64,2,3.73,AVERAGE
S1349,4,7.25,52.92,60.06,64.74,40.6,1,2.8,AT RISK
S1350,3,4.52,95.96,42.1,85.58,36.5,2,2.19,AT RISK
S1351,3,7.39,54.46,82.69,53.84,38.55,1,7.67,GOOD
S1352,5,4.94,55.58,85.26,94.35,88.78,2,2.37,AVERAGE
S1353,3,7.11,90.53,52.06,70.01,49.79,0,7.72,AVERAGE
S1354,4,7.15,93.37,53.23,85.37,69.54,2,6.33,AVERAGE
S1355,6,6.56,56.24,87.46,90.98,61.85,3,5.49,AVERAGE
S1356,1,6.87,69.9,36.44,99.93,85.12,4,5.73,GOOD
S1357,3,8.2,83.88,66.23,53.44,65.8,3,3.32,AVERAGE
S1358,1,8.4,91.55,62.82,57.21,66.54,3,5.52,GOOD
S1359,7,6.71,65.09,76.41,55.03,97.31,0,2.31,GOOD
S1360,2,7.3,72.4,44.8,55.77,44.46,1,7.56,AVERAGE
S1361,6,9.12,84.31,75.1,74.95,87.33,3,3.11,AVERAGE
S1362,2,4.66,83.75,57.6,99.61,38.26,4,2.79,AVERAGE
S1363,3,4.64,86.5,72.12,99.42,65.09,2,5.98,AVERAGE
